127.0.0.1 - - [05/Oct/2021:00:31:21 +0900] "GET / HTTP/1.1" 200 2789
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:31:41 +0900] "GET / HTTP/1.1" 200 2789
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:31:42 +0900] "GET /resources/js/master.js HTTP/1.1" 200 5718
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:31:42 +0900] "GET /resources/css/master.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:31:42 +0900] "GET /resources/css/login.css HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:41 +0900] "POST /login HTTP/1.1" 200 8973
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:42 +0900] "GET /resources/js/master.js HTTP/1.1" 200 5718
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:42 +0900] "GET /resources/css/master.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:42 +0900] "GET /resources/js/main.js HTTP/1.1" 200 15118
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:42 +0900] "GET /resources/css/main.css HTTP/1.1" 200 2911
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:42 +0900] "GET /resources/images/eljl_LOGO_final.png HTTP/1.1" 200 3241
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:46 +0900] "POST /dashboard/getMyLectureList HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:46 +0900] "POST /dashboard/getTotalLectureList HTTP/1.1" 200 5093
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:48 +0900] "POST /moveStream HTTP/1.1" 200 10195
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:49 +0900] "GET /resources/css/master.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:49 +0900] "GET /resources/js/master.js HTTP/1.1" 200 5718
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:49 +0900] "GET /resources/js/main.js HTTP/1.1" 200 15118
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:49 +0900] "GET /resources/js/stream.js HTTP/1.1" 200 7787
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:49 +0900] "GET /resources/images/eljl_LOGO_final.png HTTP/1.1" 200 3241
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:50 +0900] "POST /common/getTaskDate HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:50 +0900] "POST /common/getETCDate HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:50 +0900] "POST /common/getQuizDate HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:50 +0900] "POST /common/getNotice HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:53 +0900] "POST /moveStuManage HTTP/1.1" 200 18511
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:53 +0900] "GET /resources/css/master.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:53 +0900] "GET /resources/js/master.js HTTP/1.1" 200 5718
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:53 +0900] "GET /resources/js/stuManage.js HTTP/1.1" 200 8089
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:54 +0900] "GET /resources/images/eljl_LOGO_final.png HTTP/1.1" 200 3241
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:54 +0900] "GET /resources/vue/vue.js HTTP/1.1" 200 342147
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:54 +0900] "POST /teacher/allStuList HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:56 +0900] "POST /teacher/selectGradeList HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:56 +0900] "POST /teacher/selectSiList HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:56 +0900] "POST /teacher/selectCoList HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:56 +0900] "POST /teacher/selectCosList HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:58 +0900] "POST /teacher/selectCoList HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:58 +0900] "POST /teacher/selectGradeList HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:58 +0900] "POST /teacher/selectCosList HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:58 +0900] "POST /teacher/selectSiList HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:58 +0900] "POST /teacher/selectGradeList HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:58 +0900] "POST /teacher/selectCosList HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:58 +0900] "POST /teacher/selectCoList HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:58 +0900] "POST /teacher/selectSiList HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:59 +0900] "POST /teacher/selectGradeList HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:59 +0900] "POST /teacher/selectSiList HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:59 +0900] "POST /teacher/selectCoList HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:45:59 +0900] "POST /teacher/selectCosList HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:00 +0900] "POST /teacher/selectCosList HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:00 +0900] "POST /teacher/selectCoList HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:00 +0900] "POST /teacher/selectGradeList HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:00 +0900] "POST /teacher/selectSiList HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:02 +0900] "POST /teacher/selectGradeList HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:02 +0900] "POST /teacher/selectSiList HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:02 +0900] "POST /teacher/selectCoList HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:02 +0900] "POST /teacher/selectCosList HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:02 +0900] "POST /teacher/selectGradeList HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:02 +0900] "POST /teacher/selectCosList HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:02 +0900] "POST /teacher/selectSiList HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:02 +0900] "POST /teacher/selectCoList HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:14 +0900] "POST /teacher/selectSiList HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:14 +0900] "POST /teacher/selectCoList HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:14 +0900] "POST /teacher/selectCosList HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:14 +0900] "POST /teacher/selectGradeList HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:15 +0900] "POST /teacher/selectGradeList HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:15 +0900] "POST /teacher/selectCosList HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:15 +0900] "POST /teacher/selectSiList HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:15 +0900] "POST /teacher/selectCoList HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:16 +0900] "POST /teacher/selectSiList HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:16 +0900] "POST /teacher/selectCosList HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:16 +0900] "POST /teacher/selectGradeList HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:16 +0900] "POST /teacher/selectCoList HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [05/Oct/2021:01:46:16 +0900] "POST /teacher/selectCosList HTTP/1.1" 200 12
